New op,SYMPY expression,Expression for LLM,Value
tan,"tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)",tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5),-9.70056295529425e-29
cos,"cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5))",cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)),1.00000000000000
/,"(cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3)",(cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3),0.333333333333333
log,"log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3)",log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)),-1.00000000000000
*,"(log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)",(log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8),-8.00000000000000
tan,"tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8))",tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)),6.79971145522038
tan,"tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))",tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8))),0.567958293548092
sqrt,"sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8))))",sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))),0.753630077390819
*,"(sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)",(sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2),1.50726015478164
sqrt,"sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2))",sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2)),1.22770523937207
log,"log(sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)),9)",log_9(sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2))),0.0933663176462713
/,"(log(sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)),9))/(1)",(log_9(sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2))))/(1),0.0933663176462713
*,"((log(sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)),9))/(1))*(4)",((log_9(sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2))))/(1))*(4),0.373465270585085
pow,"(((log(sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)),9))/(1))*(4))**4",(((log_9(sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2))))/(1))*(4))^4,0.0194536405862553
cos,"cos((((log(sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)),9))/(1))*(4))**4)",cos((((log_9(sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2))))/(1))*(4))^4),0.999810783901394
sin,"sin(cos((((log(sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)),9))/(1))*(4))**4))",sin(cos((((log_9(sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2))))/(1))*(4))^4)),0.841368735850642
sqrt,"sqrt(sin(cos((((log(sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)),9))/(1))*(4))**4)))",sqrt(sin(cos((((log_9(sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2))))/(1))*(4))^4))),0.917261541682983
pow,"(sqrt(sin(cos((((log(sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)),9))/(1))*(4))**4))))**4",(sqrt(sin(cos((((log_9(sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2))))/(1))*(4))^4))))^4,0.707901349666908
tan,"tan((sqrt(sin(cos((((log(sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)),9))/(1))*(4))**4))))**4)",tan((sqrt(sin(cos((((log_9(sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2))))/(1))*(4))^4))))^4),0.855886119257632
tan,"tan(tan((sqrt(sin(cos((((log(sqrt((sqrt(tan(tan((log((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log(((exp(sin(sin(cos((10 - 4))))))**2)*(7),7))))*(7))))))**5)/(9)))*(2))**5)))/(3),3))*(8)))))*(2)),9))/(1))*(4))**4))))**4))",tan(tan((sqrt(sin(cos((((log_9(sqrt((sqrt(tan(tan((log_3((cos(tan(((tan(((sin(tan(sin(sqrt((tan(sin(log_7(((e^(sin(sin(cos((10 - 4))))))^2)*(7)))))*(7))))))^5)/(9)))*(2))^5)))/(3)))*(8)))))*(2))))/(1))*(4))^4))))^4)),1.15193738722067
